ego_aid,paper_id,title,doi,original_file,umap_1,umap_2
A5066791342,cce2e6e1ad3655c5f84aca6119449462fbab1fa5,The Legion System: A Novel Approach to Evolving Hetrogeneity for Collective Problem Solving,https://doi.org/10.1007/978-3-540-46239-2_2,embeddings_A5066791342,15.038102,4.9310794
A5066791342,3bce6f20190e6b46674065e174828517bb000138,AN EXPLORATION-ESTIMATION ALGORITHM FOR SYNTHESIS AND ANALYSIS OF ENGINEERING SYSTEMS USING MINIMAL PHYSICAL TESTING,https://doi.org/10.1115/detc2004-57574,embeddings_A5066791342,14.633377,6.4621086
A5066791342,9331784b56e01596f6d11dadea6763b92c18781f,Resilient Machines Through Continuous Self-Modeling,https://doi.org/10.1126/science.1133687,embeddings_A5066791342,15.226418,4.964209
A5066791342,79c674bae6650930ac9c120328488b9b1e4ce6c6,Co‐evolutionary algorithm for structural damage identification using minimal physical testing,https://doi.org/10.1002/nme.1803,embeddings_A5066791342,14.25091,6.725198
A5066791342,b9b36a61bcac98777a0ac06e4eb36b2959bef511,Automated reverse engineering of nonlinear dynamical systems,https://doi.org/10.1073/pnas.0609476104,embeddings_A5066791342,14.518662,5.9684925
A5066791342,84d07d930ec8ad617630a91fe33351c638bec35e,Use of an artificial neural network to predict head injury outcome.,https://doi.org/10.3171/2009.11.jns09857,embeddings_A5066791342,8.166302,-1.6606954
A5066791342,c0bd3064bd691d205b761b97ddcab7157ad632d8,Biologically Inspired Computing,https://doi.org/10.1109/mc.2009.104,embeddings_A5066791342,8.715664,5.650265
A5066791342,6755f0c3bac9cb8c1b1ab5c81bdf6383a54f380c,The impact of jointly evolving robot morphology and control on adaptation rate,https://doi.org/10.1145/1569901.1570151,embeddings_A5066791342,15.19451,4.970124
A5066791342,a62ec646e117d5f4ab2f14f3b4f59dabc6d5bcc1,A Functional Crossover Operator for Genetic Programming,https://doi.org/10.1007/978-1-4419-1626-6_12,embeddings_A5066791342,15.032759,5.2616935
A5066791342,08b2133e16a7a6ff45761d1d5926476de0fe1aab,2010 Special Issue: Self discovery enables robot social cognition: Are you my teacher?,https://doi.org/10.1016/j.neunet.2010.07.009,embeddings_A5066791342,15.091017,4.879897
A5066791342,2f67ca6fcf11f3fa4de805eb7301790ec4c9c778,Morphological change in machines accelerates the evolution of robust behavior,https://doi.org/10.1073/pnas.1015390108,embeddings_A5066791342,15.223711,4.9525127
A5066791342,cd4fe35e642e477bc02c0ca49b8143a7aa8dd4ab,Evolving Monolithic Robot Controllers through Incremental Shaping,https://doi.org/10.1007/978-3-642-18272-3_5,embeddings_A5066791342,15.207573,4.960455
A5066791342,d3cf81767f2d4f3f141a00a5bca6127c4ca79cfe,On the Relationship Between Environmental and Mechanical Complexity in Evolved Robots,https://doi.org/10.7551/978-0-262-31050-5-ch041,embeddings_A5066791342,15.206154,4.9621673
A5066791342,67f7414831c3ab3580b3c4549f01d3177a59d8b9,Crowdsourcing Novel Childhood Predictors of Adult Obesity,https://doi.org/10.1371/journal.pone.0087756,embeddings_A5066791342,8.903483,-0.1108262
A5066791342,af1327b50493d97a879b58dcfc3fd3baece5a94d,Inductive machine learning for improved estimation of catchment-scale snow water equivalent,https://doi.org/10.1016/j.jhydrol.2015.02.042,embeddings_A5066791342,12.183068,6.8542576
A5066791342,142dbfa8f9df7430792e3225b18902e81f884e43,Combining Computational and Social Effort for Collaborative Problem Solving,https://doi.org/10.1371/journal.pone.0142524,embeddings_A5066791342,12.376485,4.162511
A5066791342,a185fc107c97b7661b8c468f1051b3ea73048964,An Embodied Approach for Evolving Robust Visual Classifiers,https://doi.org/10.1145/2739480.2754788,embeddings_A5066791342,14.987725,4.7455864
A5066791342,9544ce996a1254e51cb57ca08697e5e159a29ad2,Evolutionary Robotics,https://doi.org/10.1007/978-3-319-32552-1_76,embeddings_A5066791342,15.21066,4.957409
A5066791342,ff5d0951774a57c066ddaf0a8d0f3cd3e18f5d18,Evolving Soft Robots,https://doi.org/10.1089/soro.2016.29008.jcb,embeddings_A5066791342,15.197512,4.953901
A5066791342,861fca403f9e08850e17fc34ae944324c3cfc77e,Choice of robot morphology can prohibit modular control and disrupt evolution,https://doi.org/10.7551/ecal_a_014,embeddings_A5066791342,14.99253,4.8226643
A5066791342,1d6d11b7278948f829ad7884a55b0b17c75d1d65,A crowdsourcing approach to understand weight and weight loss in men,https://doi.org/10.1016/j.pmedr.2018.12.004,embeddings_A5066791342,8.917865,-0.14559832
A5066791342,07373ef36d71a7b0120427ee0c578f9eb8b2ee1c,Modeling self and others,https://doi.org/10.1093/oso/9780199674923.003.0011,embeddings_A5066791342,15.094477,4.8836493
A5066791342,84f21d04b1c2a9541cd463f352fa7330d28a711f,Machine behaviour,https://doi.org/10.1038/s41586-019-1138-y,embeddings_A5066791342,15.122125,4.960609
A5066791342,c0c5038346b4733ed8be38a83d8cec8ad697df0e,Automated shapeshifting for function recovery in damaged robots,https://doi.org/10.15607/rss.2019.xv.028,embeddings_A5066791342,15.243517,4.9492087
A5066791342,ef70085edccdcf0e712136b90b4cdf04a5ed814f,Word2vec to behavior: morphology facilitates the grounding of language in machines.,https://doi.org/10.1109/iros40897.2019.8967639,embeddings_A5066791342,14.602518,4.1682944
A5066791342,fc93ba5dfdb5e8b3da1e83a49b514305142fe0ad,A scalable pipeline for designing reconfigurable organisms,https://doi.org/10.1073/pnas.1910837117,embeddings_A5066791342,15.175784,5.0040307
A5066791342,34392249e3b8347a28cb4a28a8db64d0f4ce8c8d,"Shape Changing Robots: Bioinspiration, Simulation, and Physical Realization",https://doi.org/10.1002/adma.202002882,embeddings_A5066791342,15.242123,4.992139
A5066791342,c6e56e450c2a081c85f7c31896c46ec03cb0ed2b,Scalable sim-to-real transfer of soft robot designs,https://doi.org/10.1109/robosoft48309.2020.9116004,embeddings_A5066791342,15.218952,4.985215
A5066791342,b21b508eb11a219d4df76f3b600ed1ac254d4d89,Applications and ethics of computer-designed organisms,https://doi.org/10.1038/s41580-020-00284-z,embeddings_A5066791342,15.15098,4.989231
A5066791342,9a6baad27e635d153f010d60f6d40840965b6ab7,A soft robot that adapts to environments through shape change,https://doi.org/10.1038/s42256-020-00263-1,embeddings_A5066791342,15.240968,4.986132
A5066791342,78244e4fae5a6663c4e2d341f233719812c38c77,Sim2real gap is non-monotonic with robot complexity for morphology-in-the-loop flapping wing design,https://doi.org/10.1109/icra40945.2020.9196539,embeddings_A5066791342,15.230833,4.9765644
A5066791342,327c11a755f5c11a4dcb513ed10dd0cd28cc1493,Death and Progress: How Evolvability is Influenced by Intrinsic Mortality,https://doi.org/10.1162/artl_a_00311,embeddings_A5066791342,9.87171,8.681595
A5066791342,3d1e8e779d5323a8cea74f01943afd304eb07900,Morphology dictates learnability in neural controllers,https://doi.org/10.1162/isal_a_00243,embeddings_A5066791342,14.953476,4.8043976
A5066791342,d0697e9f15e1480282497bd2299dd42201886a11,Crowd grounding: finding semantic and behavioral alignment through human robot interaction,https://doi.org/10.1162/isal_a_00317,embeddings_A5066791342,14.864345,4.5930734
A5066791342,edf268058a35dabddf15946dc7adeb0ed81cc268,A Framework for Search and Application Agnostic Interactive Optimization,https://doi.org/10.1162/isal_a_00310,embeddings_A5066791342,14.909749,4.7697453
A5066791342,8c87e321d13733279bf9ef905e9cbcded130d2e1,Kinematic self-replication in reconfigurable organisms,https://doi.org/10.1073/pnas.2112672118,embeddings_A5066791342,15.147079,5.0304303
A5066791342,701d6892b46d0cd3dc4027b0de3131b5dc3ef483,Scale invariant robot behavior with fractals,https://doi.org/10.15607/rss.2021.xvii.059,embeddings_A5066791342,15.24219,5.0035286
A5066791342,9bab2026efc38ad387b140211c4abc48c0250b89,Shape Matching: Evolving Fiber Constraints on a Pneumatic Bilayer,https://doi.org/10.1109/robosoft51838.2021.9479212,embeddings_A5066791342,15.245306,5.0004187
A5066791342,a213bd1cc48bbd6c92336d8ed07748c680c37687,Towards enduring autonomous robots via embodied energy,https://doi.org/10.1038/s41586-021-04138-2,embeddings_A5066791342,15.221512,4.9754543
A5066791342,f295b3e251f4cc2bb5e866330ba74b582b978aa5,Biological underpinnings for lifelong learning machines,https://doi.org/10.1038/s42256-022-00452-0,embeddings_A5066791342,15.112818,4.9909115
A5066791342,48c594aec3afb09e6b6fbfec4bd4da58e751854b,Evolving programmable computational metamaterials,https://doi.org/10.1145/3512290.3528861,embeddings_A5066791342,14.512538,5.7091503
A5066791342,44bc6a8cc81b29c7104832828d32384ab8514926,Glaberish: Generalizing the Continuously-Valued Lenia Framework to Arbitrary Life-Like Cellular Automata,https://doi.org/10.1162/isal_a_00530,embeddings_A5066791342,14.747457,5.2736998
A5066791342,ed46224951609f77786439e7c0d115b3ced011aa,Evolution of Acoustic Logic Gates in Granular Metamaterials,https://doi.org/10.1007/978-3-031-02462-7_7,embeddings_A5066791342,14.518149,5.742186
A5066791342,81dec97f73e3c1453a2b1416758706529a73aa43,Empowered neural cellular automata,https://doi.org/10.1145/3520304.3529067,embeddings_A5066791342,15.115275,5.011926
A5066791342,6c804a075c91d22ac528a3612334da650e3c0cfd,Selecting continuous life-like cellular automata for halting unpredictability: evolving for abiogenesis,https://doi.org/10.1145/3520304.3529037,embeddings_A5066791342,14.939016,5.1833158
A5066791342,4bd7bfc4b2fa157bb3ae7191a4a59bc3d1305f73,Step Size is a Consequential Parameter in Continuous Cellular Automata,https://doi.org/10.48550/arxiv.2205.12728,embeddings_A5066791342,14.538255,5.445584
A5066791342,0e7e98161ba71f294897e1239786f0388907aa31,"From bioinspired to biological robots, and back again.",https://doi.org/10.1088/1757-899x/1261/1/012004,embeddings_A5066791342,15.206056,4.9829698
A5066791342,68d238d12008a431d46bf017895f6663c3e3c28c,Biological Robots: Perspectives on an Emerging Interdisciplinary Field,https://doi.org/10.1089/soro.2022.0142,embeddings_A5066791342,15.226087,4.9732413
A5066791342,f178bab4da306afec7f921419bcad8cec3f0602c,Efficient automatic design of robots,https://doi.org/10.1073/pnas.2305180120,embeddings_A5066791342,15.217618,4.9677563
A5066791342,e97c5cb9bcc63d28403cbb474a1fac4726488ac2,From rigid to soft to biological robots,https://doi.org/10.1007/s10015-023-00872-0,embeddings_A5066791342,15.233136,4.9560227
A5066791342,ff73f60b94a97fc8d416e965cc9735a180b7a891,Subtract to Adapt: Autotomic Robots,https://doi.org/10.1109/robosoft55895.2023.10122102,embeddings_A5066791342,15.229926,4.9628572
A5066791342,5e607122e3d8b1370a6c8138ba32bdb527a64d6d,Universal Mechanical Polycomputation in Granular Matter,https://doi.org/10.1145/3583131.3590520,embeddings_A5066791342,14.5148,5.719971
A5066791342,58ce5f711829665df2eb6bacb24349aaa4383bf9,Morphology Choice Affects the Evolution of Affordance Detection in Robots,https://doi.org/10.1145/3583131.3590505,embeddings_A5066791342,15.168439,4.9180627
A5066791342,f5f3eb2cab5d27e358a76517a2d801ad2a85be10,Evolving variable stiffness fiber patterns for multi-shape robotic sheets,https://doi.org/10.1109/robosoft55895.2023.10121924,embeddings_A5066791342,15.262799,5.045631
A5066791342,9d02c4eacf0266e87c72d45f18657934783812b7,Selection for short-term empowerment accelerates the evolution of homeostatic neural cellular automata,https://doi.org/10.1145/3583131.3590469,embeddings_A5066791342,15.097176,5.028694
A5066791342,715c19cd2957064fd7376073fdb427c8967788f4,Robots that evolve on demand,https://doi.org/10.1038/s41578-024-00711-z,embeddings_A5066791342,15.1932,4.9787745
A5066791342,e8bd1c2d50da192514444ca6c4b21a35d48e18ec,Toward a nomenclature consensus for diverse intelligent systems: Call for collaboration,https://doi.org/10.1016/j.xinn.2024.100658,embeddings_A5066791342,14.621072,4.2334805
A5066791342,ed9cd94e4a0141518d5c735f421816cc40bcadf3,Refractive Computation: parallelizing logic gates across driving frequencies in a mechanical polycomputer.,https://doi.org/10.1162/isal_a_00807,embeddings_A5066791342,14.537471,5.698517
A5066791342,2dbb5957b0d1f76a69c50e6a244592d7b4bdd0b6,Gradient-based Design of Computational Granular Crystals,https://doi.org/10.48550/arxiv.2404.04825,embeddings_A5066791342,14.490061,5.809451
A5066791342,cbc3164d05aa788634e453a4e958d37924417726,Merging Variable Stiffness Fiber Patterns on Multi-Shape Robotic Sheets,https://doi.org/10.1109/robosoft60065.2024.10521946,embeddings_A5066791342,15.260983,5.0124345
A5066791342,6a04268ab2e0f649deacde33837ce9e4919774b1,Evolving Form and Function: Dual-Objective Optimization in Neural Symbolic Regression Networks,https://doi.org/10.1145/3638529.3654030,embeddings_A5066791342,14.984863,5.7984447
